County,WeekStartDate,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-11,Age 12-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnkAge,14-Day Count,14-Day Case Rate,dtm_updated
Adams County,2020-03-15 00:00:00,0,3,3,0.43,0,0,0,2,1,0,0,0,16,78.24,2021-11-08 11:28:08
Adams County,2020-03-22 00:00:00,0,13,13,1.86,0,0,2,5,1,5,0,0,28,146.7,2021-11-08 11:28:08
Adams County,2020-03-29 00:00:00,0,17,17,2.43,1,1,5,5,3,2,0,0,24,122.25,2021-11-08 11:28:08
Adams County,2020-04-05 00:00:00,0,8,8,1.14,0,1,2,2,2,1,0,0,10,48.9,2021-11-08 11:28:08
Adams County,2020-04-12 00:00:00,0,2,2,0.29,0,0,1,0,1,0,0,0,6,29.34,2021-11-08 11:28:08
Adams County,2020-04-19 00:00:00,0,4,4,0.57,0,0,4,0,0,0,0,0,6,29.34,2021-11-08 11:28:08
Adams County,2020-04-26 00:00:00,0,2,2,0.29,0,0,1,1,0,0,0,0,2,14.67,2021-11-08 11:28:08
Adams County,2020-05-03 00:00:00,0,1,1,0.14,1,0,0,0,0,0,0,0,2,9.78,2021-11-08 11:28:08
Adams County,2020-05-10 00:00:00,0,1,1,0.14,0,0,0,0,1,0,0,0,7,34.23,2021-11-08 11:28:08
Adams County,2020-05-17 00:00:00,0,6,6,0.86,0,0,1,4,1,0,0,0,21,112.47,2021-11-08 11:28:08
Adams County,2020-05-24 00:00:00,0,17,17,2.43,0,2,9,0,5,1,0,0,26,151.59,2021-11-08 11:28:08
Adams County,2020-05-31 00:00:00,0,14,14,2,2,3,4,5,0,0,0,0,25,127.14,2021-11-08 11:28:08
Adams County,2020-06-07 00:00:00,0,12,12,1.71,0,1,2,2,5,1,0,1,24,122.25,2021-11-08 11:28:08
Adams County,2020-06-14 00:00:00,0,13,13,1.86,1,0,4,2,5,1,0,0,42,205.38,2021-11-08 11:28:08
Adams County,2020-06-21 00:00:00,0,29,29,4.14,0,0,13,5,8,3,0,0,68,400.98,2021-11-08 11:28:08
Adams County,2020-06-28 00:00:00,0,53,53,7.57,7,7,8,9,18,3,1,0,94,542.79,2021-11-08 11:28:08
Adams County,2020-07-05 00:00:00,0,58,58,8.29,9,8,22,9,7,1,2,0,110,606.36,2021-11-08 11:28:08
Adams County,2020-07-12 00:00:00,0,66,66,9.43,5,9,18,17,11,4,2,0,105,577.02,2021-11-08 11:28:08
Adams County,2020-07-19 00:00:00,0,52,52,7.43,2,11,10,8,6,5,10,0,80,420.54,2021-11-08 11:28:08
Adams County,2020-07-26 00:00:00,0,34,34,4.86,1,5,7,8,9,1,3,0,86,449.88,2021-11-08 11:28:08
Adams County,2020-08-02 00:00:00,0,58,58,8.29,0,6,19,19,10,3,1,0,98,542.79,2021-11-08 11:28:08
Adams County,2020-08-09 00:00:00,0,53,53,7.57,6,7,11,12,8,7,2,0,99,552.57,2021-11-08 11:28:08
Adams County,2020-08-16 00:00:00,0,60,60,8.57,7,7,17,15,8,5,0,1,115,606.36,2021-11-08 11:28:08
Adams County,2020-08-23 00:00:00,0,64,64,9.14,5,4,23,12,14,5,1,0,140,762.84,2021-11-08 11:28:08
Adams County,2020-08-30 00:00:00,0,92,92,13.14,9,7,23,18,23,10,2,0,135,689.49,2021-11-08 11:28:08
Adams County,2020-09-06 00:00:00,0,49,49,7,1,5,17,16,7,1,2,0,83,454.77,2021-11-08 11:28:08
Adams County,2020-09-13 00:00:00,0,44,44,6.29,2,8,10,9,11,2,2,0,83,410.76,2021-11-08 11:28:08
Adams County,2020-09-20 00:00:00,0,40,40,5.71,0,1,17,10,11,1,0,0,52,273.84,2021-11-08 11:28:08
Adams County,2020-09-27 00:00:00,0,16,16,2.29,3,1,3,3,2,4,0,0,35,176.04,2021-11-08 11:28:08
Adams County,2020-10-04 00:00:00,0,20,20,2.86,0,1,7,3,1,5,3,0,34,180.93,2021-11-08 11:28:08
Adams County,2020-10-11 00:00:00,0,17,17,2.43,0,3,3,4,3,3,1,0,24,136.92,2021-11-08 11:28:08
Adams County,2020-10-18 00:00:00,0,11,11,1.57,1,3,6,1,0,0,0,0,37,229.83,2021-11-08 11:28:08
Adams County,2020-10-25 00:00:00,0,36,36,5.14,3,7,11,9,6,0,0,0,107,596.58,2021-11-08 11:28:08
Adams County,2020-11-01 00:00:00,2,84,86,12.29,2,13,16,21,24,9,1,0,203,1139.36,2021-11-08 11:28:08
Adams County,2020-11-08 00:00:00,3,144,147,21,19,11,43,34,25,11,4,0,271,1437.65,2021-11-08 11:28:08
Adams County,2020-11-15 00:00:00,12,135,147,21,9,14,45,43,21,15,0,0,210,1070.9,2021-11-08 11:28:08
Adams County,2020-11-22 00:00:00,22,50,72,10.29,1,8,30,20,13,0,0,0,158,870.42,2021-11-08 11:28:08
Adams County,2020-11-29 00:00:00,19,87,106,15.14,10,10,33,32,15,5,1,0,166,909.54,2021-11-08 11:28:08
Adams County,2020-12-06 00:00:00,28,52,80,11.43,9,11,21,24,9,5,0,1,128,679.71,2021-11-08 11:28:08
Adams County,2020-12-13 00:00:00,10,49,59,8.43,5,6,13,18,7,9,1,0,79,444.99,2021-11-08 11:28:08
Adams County,2020-12-20 00:00:00,11,21,32,4.57,4,8,8,0,5,6,1,0,71,381.42,2021-11-08 11:28:08
Adams County,2020-12-27 00:00:00,16,30,46,6.57,1,6,15,16,5,3,0,0,76,430.32,2021-11-08 11:28:08
Adams County,2021-01-03 00:00:00,3,39,42,6,9,3,9,11,3,6,1,0,67,352.08,2021-11-08 11:28:08
Adams County,2021-01-10 00:00:00,7,23,30,4.29,0,5,10,8,4,3,0,0,59,303.18,2021-11-08 11:28:08
Adams County,2021-01-17 00:00:00,4,28,32,4.57,1,2,12,7,7,3,0,0,68,405.87,2021-11-08 11:28:08
Adams County,2021-01-24 00:00:00,15,36,51,7.29,8,7,9,7,13,5,2,0,84,440.1,2021-11-08 11:28:08
Adams County,2021-01-31 00:00:00,5,34,39,5.57,4,2,11,10,6,5,1,0,63,376.53,2021-11-08 11:28:08
Adams County,2021-02-07 00:00:00,4,34,38,5.43,6,8,10,8,6,0,0,0,45,229.83,2021-11-08 11:28:08
Adams County,2021-02-14 00:00:00,3,6,9,1.29,0,2,1,2,3,0,1,0,15,78.24,2021-11-08 11:28:08
Adams County,2021-02-21 00:00:00,2,5,7,1,0,1,2,3,0,1,0,0,14,73.35,2021-11-08 11:28:08
Adams County,2021-02-28 00:00:00,1,7,8,1.14,1,0,2,3,1,1,0,0,14,83.13,2021-11-08 11:28:08
Adams County,2021-03-07 00:00:00,0,9,9,1.29,2,1,0,3,0,3,0,0,18,97.8,2021-11-08 11:28:08
Adams County,2021-03-14 00:00:00,0,11,11,1.57,1,1,2,4,1,2,0,0,25,156.48,2021-11-08 11:28:08
Adams County,2021-03-21 00:00:00,2,19,21,3,2,5,8,5,1,0,0,0,26,156.48,2021-11-08 11:28:08
Adams County,2021-03-28 00:00:00,1,10,11,1.57,0,6,2,3,0,0,0,0,21,132.03,2021-11-08 11:28:08
Adams County,2021-04-04 00:00:00,1,15,16,2.29,2,4,6,4,0,0,0,0,33,185.82,2021-11-08 11:28:08
Adams County,2021-04-11 00:00:00,7,15,22,3.14,1,4,5,8,3,1,0,0,30,190.71,2021-11-08 11:28:08
Adams County,2021-04-18 00:00:00,0,17,17,2.43,8,1,1,5,1,1,0,0,36,215.16,2021-11-08 11:28:08
Adams County,2021-04-25 00:00:00,5,22,27,3.86,2,6,4,9,4,2,0,0,42,249.39,2021-11-08 11:28:08
Adams County,2021-05-02 00:00:00,1,23,24,3.43,7,2,7,4,2,2,0,0,39,249.39,2021-11-08 11:28:08
Adams County,2021-05-09 00:00:00,7,20,27,3.86,2,10,5,7,1,2,0,0,41,224.94,2021-11-08 11:28:08
Adams County,2021-05-16 00:00:00,7,12,19,2.71,3,2,4,3,5,1,1,0,30,176.04,2021-11-08 11:28:08
Adams County,2021-05-23 00:00:00,2,15,17,2.43,2,4,3,3,1,2,2,0,21,117.36,2021-11-08 11:28:08
Adams County,2021-05-30 00:00:00,0,7,7,1,1,2,1,2,0,1,0,0,15,102.69,2021-11-08 11:28:08
Adams County,2021-06-06 00:00:00,2,12,14,2,4,2,3,4,1,0,0,0,29,171.15,2021-11-08 11:28:08
Adams County,2021-06-13 00:00:00,2,19,21,3,2,4,6,6,2,1,0,0,36,190.71,2021-11-08 11:28:08
Adams County,2021-06-20 00:00:00,2,16,18,2.57,0,3,5,3,3,1,3,0,25,136.92,2021-11-08 11:28:08
Adams County,2021-06-27 00:00:00,3,7,10,1.43,2,1,4,2,1,0,0,0,14,68.46,2021-11-08 11:28:08
Adams County,2021-07-04 00:00:00,1,3,4,0.57,0,0,1,2,1,0,0,0,5,24.45,2021-11-08 11:28:08
Adams County,2021-07-11 00:00:00,0,1,1,0.14,0,0,1,0,0,0,0,0,7,39.12,2021-11-08 11:28:08
Adams County,2021-07-18 00:00:00,1,6,7,1,1,0,3,3,0,0,0,0,26,136.92,2021-11-08 11:28:08
Adams County,2021-07-25 00:00:00,2,19,21,3,2,0,8,7,4,0,0,0,50,278.73,2021-11-08 11:28:08
Adams County,2021-08-01 00:00:00,12,24,36,5.14,0,7,12,8,7,2,0,0,83,484.11,2021-11-08 11:28:08
Adams County,2021-08-08 00:00:00,6,57,63,9,9,7,21,13,9,4,0,0,124,728.61,2021-11-08 11:28:08
Adams County,2021-08-15 00:00:00,13,73,86,12.29,9,16,21,21,12,5,2,0,147,797.07,2021-11-08 11:28:08
Adams County,2021-08-22 00:00:00,4,73,77,11,7,9,28,15,14,4,0,0,151,929.1,2021-11-08 11:28:08
Adams County,2021-08-29 00:00:00,12,101,113,16.14,23,16,30,18,16,9,1,0,182,1036.67,2021-11-08 11:28:08
Adams County,2021-09-05 00:00:00,5,94,99,14.14,19,11,32,19,12,5,1,0,165,1046.45,2021-11-08 11:28:08
Adams County,2021-09-12 00:00:00,15,100,115,16.43,23,26,24,17,20,4,1,0,168,1026.89,2021-11-08 11:28:08
Adams County,2021-09-19 00:00:00,8,87,95,13.57,22,20,19,17,8,6,3,0,145,855.75,2021-11-08 11:28:08
Adams County,2021-09-26 00:00:00,12,68,80,11.43,16,14,13,22,9,5,1,0,114,601.47,2021-11-08 11:28:08
Adams County,2021-10-03 00:00:00,9,34,43,6.14,4,5,11,12,9,2,0,0,77,425.43,2021-11-08 11:28:08
Adams County,2021-10-10 00:00:00,14,30,44,6.29,7,3,9,7,9,8,1,0,67,371.64,2021-11-08 11:28:08
Adams County,2021-10-17 00:00:00,12,20,32,4.57,2,7,11,6,0,4,2,0,54,371.64,2021-11-08 11:28:08
Adams County,2021-10-24 00:00:00,24,20,44,6.29,11,11,7,10,2,3,0,0,64,396.09,2021-11-08 11:28:08
Adams County,2021-10-31 00:00:00,14,23,37,5.29,6,11,6,9,5,0,0,0,17,0,2021-11-08 11:28:08
Asotin County,2020-03-29 00:00:00,0,4,4,0.57,0,0,0,2,0,2,0,0,8,35.34,2021-11-08 11:28:08
Asotin County,2020-04-05 00:00:00,0,4,4,0.57,0,0,0,1,2,0,1,0,10,44.17,2021-11-08 11:28:08
Asotin County,2020-04-12 00:00:00,0,6,6,0.86,0,0,0,2,4,0,0,0,9,44.17,2021-11-08 11:28:08
Asotin County,2020-04-19 00:00:00,0,4,4,0.57,0,1,0,0,2,0,1,0,4,17.67,2021-11-08 11:28:08
Asotin County,2020-05-17 00:00:00,0,1,1,0.14,0,0,0,1,0,0,0,0,1,4.42,2021-11-08 11:28:08
Asotin County,2020-06-07 00:00:00,0,1,1,0.14,0,0,0,0,0,1,0,0,1,4.42,2021-11-08 11:28:08
Asotin County,2020-06-21 00:00:00,0,1,1,0.14,0,0,0,0,1,0,0,0,2,8.83,2021-11-08 11:28:08
Asotin County,2020-06-28 00:00:00,0,1,1,0.14,0,0,0,0,1,0,0,0,1,4.42,2021-11-08 11:28:08
Asotin County,2020-07-19 00:00:00,0,2,2,0.29,0,0,1,1,0,0,0,0,3,17.67,2021-11-08 11:28:08
Asotin County,2020-07-26 00:00:00,0,2,2,0.29,0,1,1,0,0,0,0,0,7,30.92,2021-11-08 11:28:08
Asotin County,2020-08-02 00:00:00,0,5,5,0.71,0,0,3,1,1,0,0,0,19,88.34,2021-11-08 11:28:08
Asotin County,2020-08-09 00:00:00,0,15,15,2.14,0,1,8,2,2,2,0,0,20,88.34,2021-11-08 11:28:08
Asotin County,2020-08-16 00:00:00,0,5,5,0.71,0,0,3,1,1,0,0,0,8,39.75,2021-11-08 11:28:08
Asotin County,2020-08-23 00:00:00,0,4,4,0.57,0,1,0,0,2,1,0,0,10,48.59,2021-11-08 11:28:08
Asotin County,2020-08-30 00:00:00,0,7,7,1,0,1,2,0,2,2,0,0,20,97.17,2021-11-08 11:28:08
Asotin County,2020-09-06 00:00:00,0,15,15,2.14,0,2,1,1,4,6,1,0,34,163.43,2021-11-08 11:28:08
Asotin County,2020-09-13 00:00:00,0,22,22,3.14,1,2,3,4,4,6,2,0,44,207.6,2021-11-08 11:28:08
Asotin County,2020-09-20 00:00:00,0,25,25,3.57,1,2,3,1,7,4,7,0,40,181.1,2021-11-08 11:28:08
Asotin County,2020-09-27 00:00:00,0,16,16,2.29,0,1,3,1,4,3,4,0,36,167.84,2021-11-08 11:28:08
Asotin County,2020-10-04 00:00:00,0,22,22,3.14,0,2,3,4,5,4,4,0,60,282.69,2021-11-08 11:28:08
Asotin County,2020-10-11 00:00:00,0,42,42,6,1,3,13,11,11,1,2,0,83,384.28,2021-11-08 11:28:08
Asotin County,2020-10-18 00:00:00,0,45,45,6.43,2,2,14,7,12,7,1,0,129,609.54,2021-11-08 11:28:08
Asotin County,2020-10-25 00:00:00,0,93,93,13.29,2,7,29,20,21,10,4,0,216,1011.48,2021-11-08 11:28:08
Asotin County,2020-11-01 00:00:00,0,136,136,19.43,3,10,39,24,35,20,5,0,271,1280.92,2021-11-08 11:28:08
Asotin County,2020-11-08 00:00:00,0,154,154,22,7,12,45,27,38,18,7,0,260,1197,2021-11-08 11:28:08
Asotin County,2020-11-15 00:00:00,0,117,117,16.71,3,8,25,31,22,20,8,0,183,821.55,2021-11-08 11:28:08
Asotin County,2020-11-22 00:00:00,0,69,69,9.86,0,3,15,13,18,14,6,0,153,715.55,2021-11-08 11:28:08
Asotin County,2020-11-29 00:00:00,0,93,93,13.29,4,5,17,17,25,17,8,0,145,680.21,2021-11-08 11:28:08
Asotin County,2020-12-06 00:00:00,0,61,61,8.71,2,7,21,8,18,3,2,0,122,547.7,2021-11-08 11:28:08
Asotin County,2020-12-13 00:00:00,1,62,63,9,0,2,18,18,11,12,2,0,97,450.53,2021-11-08 11:28:08
Asotin County,2020-12-20 00:00:00,0,39,39,5.57,2,3,11,9,7,4,3,0,107,485.87,2021-11-08 11:28:08
Asotin County,2020-12-27 00:00:00,0,71,71,10.14,1,2,15,10,16,21,6,0,117,530.04,2021-11-08 11:28:08
Asotin County,2021-01-03 00:00:00,0,49,49,7,0,3,17,7,14,5,3,0,65,304.77,2021-11-08 11:28:08
Asotin County,2021-01-10 00:00:00,0,20,20,2.86,2,2,3,7,3,2,1,0,38,181.1,2021-11-08 11:28:08
Asotin County,2021-01-17 00:00:00,0,21,21,3,1,2,5,6,3,2,2,0,37,185.51,2021-11-08 11:28:08
Asotin County,2021-01-24 00:00:00,0,21,21,3,3,2,0,4,7,5,0,0,41,185.51,2021-11-08 11:28:08
Asotin County,2021-01-31 00:00:00,1,20,21,3,1,0,5,5,5,3,2,0,34,159.01,2021-11-08 11:28:08
Asotin County,2021-02-07 00:00:00,0,15,15,2.14,1,1,4,2,3,1,3,0,20,88.34,2021-11-08 11:28:08
Asotin County,2021-02-14 00:00:00,0,5,5,0.71,0,0,0,2,2,1,0,0,10,48.59,2021-11-08 11:28:08
Asotin County,2021-02-21 00:00:00,1,5,6,0.86,0,1,2,2,0,1,0,0,11,48.59,2021-11-08 11:28:08
Asotin County,2021-02-28 00:00:00,0,5,5,0.71,0,0,2,1,0,1,1,0,16,88.34,2021-11-08 11:28:08
Asotin County,2021-03-07 00:00:00,0,15,15,2.14,2,2,3,2,4,2,0,0,27,123.67,2021-11-08 11:28:08
Asotin County,2021-03-14 00:00:00,1,12,13,1.86,0,1,2,1,6,2,1,0,21,101.59,2021-11-08 11:28:08
Asotin County,2021-03-21 00:00:00,0,10,10,1.43,1,1,1,2,3,2,0,0,20,106.01,2021-11-08 11:28:08
Asotin County,2021-03-28 00:00:00,0,14,14,2,1,3,4,2,4,0,0,0,21,101.59,2021-11-08 11:28:08
Asotin County,2021-04-04 00:00:00,1,8,9,1.29,1,1,1,5,0,1,0,0,16,79.51,2021-11-08 11:28:08
Asotin County,2021-04-11 00:00:00,0,9,9,1.29,0,2,2,1,2,2,0,0,21,92.76,2021-11-08 11:28:08
Asotin County,2021-04-18 00:00:00,0,12,12,1.71,0,0,1,3,5,3,0,0,32,176.68,2021-11-08 11:28:08
Asotin County,2021-04-25 00:00:00,2,26,28,4,5,3,8,7,2,3,0,0,46,229.68,2021-11-08 11:28:08
Asotin County,2021-05-02 00:00:00,4,20,24,3.43,3,3,7,3,4,3,1,0,36,198.76,2021-11-08 11:28:08
Asotin County,2021-05-09 00:00:00,3,18,21,3,3,6,4,3,3,1,1,0,32,145.76,2021-11-08 11:28:08
Asotin County,2021-05-16 00:00:00,1,11,12,1.71,0,1,4,2,3,1,1,0,21,92.76,2021-11-08 11:28:08
Asotin County,2021-05-23 00:00:00,3,6,9,1.29,0,0,5,0,0,2,2,0,11,48.59,2021-11-08 11:28:08
Asotin County,2021-05-30 00:00:00,0,2,2,0.29,0,0,0,0,1,1,0,0,8,48.59,2021-11-08 11:28:08
Asotin County,2021-06-06 00:00:00,0,9,9,1.29,1,2,1,2,1,2,0,0,13,57.42,2021-11-08 11:28:08
Asotin County,2021-06-13 00:00:00,0,4,4,0.57,0,0,1,1,0,2,0,0,10,44.17,2021-11-08 11:28:08
Asotin County,2021-06-20 00:00:00,0,6,6,0.86,0,0,1,0,2,2,1,0,12,61.84,2021-11-08 11:28:08
